"ID","WBS","任务名称","任务类型","工期","开始时间","完成时间","前置任务","资源名称","主责资源","协作资源","供应商资源","责任部门","供应商","审核人/审批组","风险等级","里程碑","交付物","备注","原资源名称","资源池导入建议","评审意见"
"26","2.1.2","基础设施-技术方案与预算评审","评审","3工作日","2026-07-13","2026-07-15","25","基础设施工作组","基础设施工作组","信息化项目管理工作室","基础设施供应商","基础设施工作组","基础设施供应商","项目决策组","中","否","基础设施技术方案与预算评审","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"27","2.1.3","基础设施-招标/比选文件编制","招采","8工作日","2026-07-16","2026-07-27","26","基础设施工作组","基础设施工作组","信息化项目管理工作室","基础设施供应商","基础设施工作组","基础设施供应商","信息化项目管理工作室","中","否","基础设施招标/比选文件编制","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"28","2.1.4","基础设施-招标/比选与答疑","招采","18工作日","2026-07-28","2026-08-20","27","基础设施工作组","基础设施工作组","信息化项目管理工作室","基础设施供应商","基础设施工作组","基础设施供应商","信息化项目管理工作室","中","否","基础设施招标/比选与答疑","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"29","2.1.5","基础设施-评标/选型与商务谈判","招采","10工作日","2026-08-21","2026-09-03","28","基础设施工作组","基础设施工作组","信息化项目管理工作室","基础设施供应商","基础设施工作组","基础设施供应商","信息化项目管理工作室","中","否","基础设施评标/选型与商务谈判","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"30","2.1.6","基础设施-合同审批与签订","合同","8工作日","2026-09-04","2026-09-15","29","基础设施工作组","基础设施工作组","信息化项目管理工作室","基础设施供应商","基础设施工作组","基础设施供应商","项目决策组","中","否","基础设施合同审批与签订","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"31","2.1.7","基础设施-供应商进场准备","进场","10工作日","2026-09-16","2026-09-29","30","基础设施工作组","基础设施工作组","信息化项目管理工作室","基础设施供应商","基础设施工作组","基础设施供应商","信息化项目管理工作室","中","否","基础设施供应商进场准备","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"32","2.1.8","基础设施-供应商正式进场","里程碑","0工作日","2026-09-30","2026-09-30","31","基础设施工作组","基础设施工作组","信息化项目管理工作室","基础设施供应商","基础设施工作组","基础设施供应商","信息化项目管理工作室","中","是","基础设施供应商正式进场","重大评审尽量串行；供应商合同后2周进场准备 [M]","信息化项目管理工作室;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"33","2.2.1","AI服务器/本地模型环境-方案评审材料准备","方案评审","8工作日","2026-07-15","2026-07-24","12","基础设施工作组","基础设施工作组","信息化项目管理工作室","AI服务器供应商","基础设施工作组","AI服务器供应商","信息化项目管理工作室","中","否","AI服务器/本地模型环境方案评审材料准备","重大评审尽量串行；供应商合同后2周进场准备 [M]","信息化项目管理工作室;AI服务器供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"34","2.2.2","AI服务器/本地模型环境-技术方案与预算评审","评审","3工作日","2026-07-27","2026-07-29","33","基础设施工作组","基础设施工作组","信息化项目管理工作室","AI服务器供应商","基础设施工作组","AI服务器供应商","项目决策组","中","否","AI服务器/本地模型环境技术方案与预算评审","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;AI服务器供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"35","2.2.3","AI服务器/本地模型环境-招标/比选文件编制","招采","8工作日","2026-07-30","2026-08-10","34","基础设施工作组","基础设施工作组","信息化项目管理工作室","AI服务器供应商","基础设施工作组","AI服务器供应商","信息化项目管理工作室","中","否","AI服务器/本地模型环境招标/比选文件编制","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;AI服务器供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"36","2.2.4","AI服务器/本地模型环境-招标/比选与答疑","招采","18工作日","2026-08-11","2026-09-03","35","基础设施工作组","基础设施工作组","信息化项目管理工作室","AI服务器供应商","基础设施工作组","AI服务器供应商","信息化项目管理工作室","中","否","AI服务器/本地模型环境招标/比选与答疑","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;AI服务器供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"37","2.2.5","AI服务器/本地模型环境-评标/选型与商务谈判","招采","10工作日","2026-09-04","2026-09-17","36","基础设施工作组","基础设施工作组","信息化项目管理工作室","AI服务器供应商","基础设施工作组","AI服务器供应商","信息化项目管理工作室","中","否","AI服务器/本地模型环境评标/选型与商务谈判","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;AI服务器供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"38","2.2.6","AI服务器/本地模型环境-合同审批与签订","合同","8工作日","2026-09-18","2026-09-29","37","基础设施工作组","基础设施工作组","信息化项目管理工作室","AI服务器供应商","基础设施工作组","AI服务器供应商","项目决策组","中","否","AI服务器/本地模型环境合同审批与签订","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;AI服务器供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"39","2.2.7","AI服务器/本地模型环境-供应商进场准备","进场","10工作日","2026-09-30","2026-10-13","38","基础设施工作组","基础设施工作组","信息化项目管理工作室","AI服务器供应商","基础设施工作组","AI服务器供应商","信息化项目管理工作室","中","否","AI服务器/本地模型环境供应商进场准备","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;AI服务器供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"40","2.2.8","AI服务器/本地模型环境-供应商正式进场","里程碑","0工作日","2026-10-14","2026-10-14","39","基础设施工作组","基础设施工作组","信息化项目管理工作室","AI服务器供应商","基础设施工作组","AI服务器供应商","信息化项目管理工作室","中","是","AI服务器/本地模型环境供应商正式进场","重大评审尽量串行；供应商合同后2周进场准备 [M]","信息化项目管理工作室;AI服务器供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"41","2.3.1","虚拟化/瘦终端平台-方案评审材料准备","方案评审","8工作日","2026-07-15","2026-07-24","12","基础设施工作组","基础设施工作组","信息化项目管理工作室","基础设施供应商","基础设施工作组","基础设施供应商","信息化项目管理工作室","中","否","虚拟化/瘦终端平台方案评审材料准备","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"42","2.3.2","虚拟化/瘦终端平台-技术方案与预算评审","评审","3工作日","2026-07-27","2026-07-29","41","基础设施工作组","基础设施工作组","信息化项目管理工作室","基础设施供应商","基础设施工作组","基础设施供应商","项目决策组","中","否","虚拟化/瘦终端平台技术方案与预算评审","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"43","2.3.3","虚拟化/瘦终端平台-招标/比选文件编制","招采","8工作日","2026-07-30","2026-08-10","42","基础设施工作组","基础设施工作组","信息化项目管理工作室","基础设施供应商","基础设施工作组","基础设施供应商","信息化项目管理工作室","中","否","虚拟化/瘦终端平台招标/比选文件编制","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"44","2.3.4","虚拟化/瘦终端平台-招标/比选与答疑","招采","18工作日","2026-08-11","2026-09-03","43","基础设施工作组","基础设施工作组","信息化项目管理工作室","基础设施供应商","基础设施工作组","基础设施供应商","信息化项目管理工作室","中","否","虚拟化/瘦终端平台招标/比选与答疑","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"45","2.3.5","虚拟化/瘦终端平台-评标/选型与商务谈判","招采","10工作日","2026-09-04","2026-09-17","44","基础设施工作组","基础设施工作组","信息化项目管理工作室","基础设施供应商","基础设施工作组","基础设施供应商","信息化项目管理工作室","中","否","虚拟化/瘦终端平台评标/选型与商务谈判","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"46","2.3.6","虚拟化/瘦终端平台-合同审批与签订","合同","8工作日","2026-09-18","2026-09-29","45","基础设施工作组","基础设施工作组","信息化项目管理工作室","基础设施供应商","基础设施工作组","基础设施供应商","项目决策组","中","否","虚拟化/瘦终端平台合同审批与签订","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"47","2.3.7","虚拟化/瘦终端平台-供应商进场准备","进场","10工作日","2026-09-30","2026-10-13","46","基础设施工作组","基础设施工作组","信息化项目管理工作室","基础设施供应商","基础设施工作组","基础设施供应商","信息化项目管理工作室","中","否","虚拟化/瘦终端平台供应商进场准备","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"48","2.3.8","虚拟化/瘦终端平台-供应商正式进场","里程碑","0工作日","2026-10-14","2026-10-14","47","基础设施工作组","基础设施工作组","信息化项目管理工作室","基础设施供应商","基础设施工作组","基础设施供应商","信息化项目管理工作室","中","是","虚拟化/瘦终端平台供应商正式进场","重大评审尽量串行；供应商合同后2周进场准备 [M]","信息化项目管理工作室;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"49","2.4.1","PLM深化-方案评审材料准备","方案评审","8工作日","2026-08-17","2026-08-26","12","PLM工作组","PLM工作组","信息化项目管理工作室","PLM供应商","PLM工作组","PLM供应商","信息化项目管理工作室","高","否","PLM深化方案评审材料准备","重大评审尽量串行；供应商合同后2周进场准备 [M]","信息化项目管理工作室;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"50","2.4.2","PLM深化-技术方案与预算评审","评审","3工作日","2026-08-27","2026-08-31","49","PLM工作组","PLM工作组","信息化项目管理工作室","PLM供应商","PLM工作组","PLM供应商","项目决策组","高","否","PLM深化技术方案与预算评审","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"51","2.4.3","PLM深化-招标/比选文件编制","招采","8工作日","2026-09-01","2026-09-10","50","PLM工作组","PLM工作组","信息化项目管理工作室","PLM供应商","PLM工作组","PLM供应商","信息化项目管理工作室","高","否","PLM深化招标/比选文件编制","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"52","2.4.4","PLM深化-招标/比选与答疑","招采","25工作日","2026-09-11","2026-10-15","51","PLM工作组","PLM工作组","信息化项目管理工作室","PLM供应商","PLM工作组","PLM供应商","信息化项目管理工作室","高","否","PLM深化招标/比选与答疑","重大评审尽量串行；供应商合同后2周进场准备 [M]","信息化项目管理工作室;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"53","2.4.5","PLM深化-评标/选型与商务谈判","招采","10工作日","2026-10-16","2026-10-29","52","PLM工作组","PLM工作组","信息化项目管理工作室","PLM供应商","PLM工作组","PLM供应商","信息化项目管理工作室","高","否","PLM深化评标/选型与商务谈判","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"54","2.4.6","PLM深化-合同审批与签订","合同","8工作日","2026-10-30","2026-11-10","53","PLM工作组","PLM工作组","信息化项目管理工作室","PLM供应商","PLM工作组","PLM供应商","项目决策组","高","否","PLM深化合同审批与签订","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"55","2.4.7","PLM深化-供应商进场准备","进场","10工作日","2026-11-11","2026-11-24","54","PLM工作组","PLM工作组","信息化项目管理工作室","PLM供应商","PLM工作组","PLM供应商","信息化项目管理工作室","高","否","PLM深化供应商进场准备","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"56","2.4.8","PLM深化-供应商正式进场","里程碑","0工作日","2026-11-25","2026-11-25","55","PLM工作组","PLM工作组","信息化项目管理工作室","PLM供应商","PLM工作组","PLM供应商","信息化项目管理工作室","高","是","PLM深化供应商正式进场","重大评审尽量串行；供应商合同后2周进场准备 [M]","信息化项目管理工作室;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"57","2.5.1","MES/QMS-方案评审材料准备","方案评审","8工作日","2026-09-01","2026-09-10","12","MES工作组","MES工作组","信息化项目管理工作室","MES供应商;低代码平台供应商","MES工作组","MES供应商;低代码平台供应商","信息化项目管理工作室","高","否","MES/QMS方案评审材料准备","重大评审尽量串行；供应商合同后2周进场准备 [M]","信息化项目管理工作室;MES供应商;低代码平台供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"58","2.5.2","MES/QMS-技术方案与预算评审","评审","3工作日","2026-09-11","2026-09-15","57","MES工作组","MES工作组","信息化项目管理工作室","MES供应商;低代码平台供应商","MES工作组","MES供应商;低代码平台供应商","项目决策组","高","否","MES/QMS技术方案与预算评审","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;MES供应商;低代码平台供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"59","2.5.3","MES/QMS-招标/比选文件编制","招采","8工作日","2026-09-16","2026-09-25","58","MES工作组","MES工作组","信息化项目管理工作室","MES供应商;低代码平台供应商","MES工作组","MES供应商;低代码平台供应商","信息化项目管理工作室","高","否","MES/QMS招标/比选文件编制","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;MES供应商;低代码平台供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"60","2.5.4","MES/QMS-招标/比选与答疑","招采","25工作日","2026-09-28","2026-10-30","59","MES工作组","MES工作组","信息化项目管理工作室","MES供应商;低代码平台供应商","MES工作组","MES供应商;低代码平台供应商","信息化项目管理工作室","高","否","MES/QMS招标/比选与答疑","重大评审尽量串行；供应商合同后2周进场准备 [M]","信息化项目管理工作室;MES供应商;低代码平台供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"61","2.5.5","MES/QMS-评标/选型与商务谈判","招采","10工作日","2026-11-02","2026-11-13","60","MES工作组","MES工作组","信息化项目管理工作室","MES供应商;低代码平台供应商","MES工作组","MES供应商;低代码平台供应商","信息化项目管理工作室","高","否","MES/QMS评标/选型与商务谈判","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;MES供应商;低代码平台供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"62","2.5.6","MES/QMS-合同审批与签订","合同","8工作日","2026-11-16","2026-11-25","61","MES工作组","MES工作组","信息化项目管理工作室","MES供应商;低代码平台供应商","MES工作组","MES供应商;低代码平台供应商","项目决策组","高","否","MES/QMS合同审批与签订","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;MES供应商;低代码平台供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"63","2.5.7","MES/QMS-供应商进场准备","进场","10工作日","2026-11-26","2026-12-09","62","MES工作组","MES工作组","信息化项目管理工作室","MES供应商;低代码平台供应商","MES工作组","MES供应商;低代码平台供应商","信息化项目管理工作室","高","否","MES/QMS供应商进场准备","重大评审尽量串行；供应商合同后2周进场准备 [M]","信息化项目管理工作室;MES供应商;低代码平台供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"64","2.5.8","MES/QMS-供应商正式进场","里程碑","0工作日","2026-12-10","2026-12-10","63","MES工作组","MES工作组","信息化项目管理工作室","MES供应商;低代码平台供应商","MES工作组","MES供应商;低代码平台供应商","信息化项目管理工作室","高","是","MES/QMS供应商正式进场","重大评审尽量串行；供应商合同后2周进场准备 [M]","信息化项目管理工作室;MES供应商;低代码平台供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"65","2.6.1","设备数据采集硬件/网关-方案评审材料准备","方案评审","8工作日","2027-05-10","2027-05-19","12","MES工作组","MES工作组","信息化项目管理工作室","设备采集供应商","MES工作组","设备采集供应商","信息化项目管理工作室","中","否","设备数据采集硬件/网关方案评审材料准备","重大评审尽量串行；供应商合同后2周进场准备 [M]","信息化项目管理工作室;设备采集供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"66","2.6.2","设备数据采集硬件/网关-技术方案与预算评审","评审","3工作日","2027-05-20","2027-05-24","65","MES工作组","MES工作组","信息化项目管理工作室","设备采集供应商","MES工作组","设备采集供应商","项目决策组","中","否","设备数据采集硬件/网关技术方案与预算评审","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;设备采集供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"67","2.6.3","设备数据采集硬件/网关-招标/比选文件编制","招采","8工作日","2027-05-25","2027-06-03","66","MES工作组","MES工作组","信息化项目管理工作室","设备采集供应商","MES工作组","设备采集供应商","信息化项目管理工作室","中","否","设备数据采集硬件/网关招标/比选文件编制","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;设备采集供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"68","2.6.4","设备数据采集硬件/网关-招标/比选与答疑","招采","25工作日","2027-06-04","2027-07-08","67","MES工作组","MES工作组","信息化项目管理工作室","设备采集供应商","MES工作组","设备采集供应商","信息化项目管理工作室","中","否","设备数据采集硬件/网关招标/比选与答疑","重大评审尽量串行；供应商合同后2周进场准备 [E]","信息化项目管理工作室;设备采集供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
