"ID","WBS","任务名称","任务类型","工期","开始时间","完成时间","前置任务","资源名称","主责资源","协作资源","供应商资源","责任部门","供应商","审核人/审批组","风险等级","里程碑","交付物","备注","原资源名称","资源池导入建议","评审意见"
"13","1.3","项目治理机制建立","管理","5工作日","2026-06-09","2026-06-15","12","信息化项目组","信息化项目组","信息化项目管理工作室","","信息化项目组","","信息化项目管理工作室","中","否","周会、月报、风险台账、变更流程","","信息化项目管理工作室","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"14","1.4","现状调研计划编制","调研","5工作日","2026-06-16","2026-06-22","13","信息化项目组","信息化项目组","信息化项目管理工作室","","信息化项目组","","信息化项目管理工作室","中","否","调研计划","","信息化项目管理工作室","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"15","1.5","业务现状调研-数据与主数据","调研","8工作日","2026-06-23","2026-07-02","14","信息化项目组","信息化项目组","MDM工作组;数据质量工作组","","信息化项目组","","信息化项目管理工作室","中","否","调研记录","","MDM工作组;数据质量工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"17","1.7","业务现状调研-MES/QMS","调研","10工作日","2026-07-15","2026-07-28","16","信息化项目组","信息化项目组","MES工作组","","信息化项目组","","信息化项目管理工作室","中","否","调研记录","","MES工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"20","1.10","总体蓝图初稿编制","设计","15工作日","2026-08-20","2026-09-09","19","信息化项目组","信息化项目组","信息化项目管理工作室;技术架构组","","信息化项目组","","信息化项目管理工作室","高","否","总体蓝图初稿","","信息化项目管理工作室;技术架构组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"21","1.11","业务流程梳理与主映射关系整理","设计","15工作日","2026-09-10","2026-09-30","20","信息化项目组","信息化项目组","PLM工作组;MES工作组;ERP·OA工作组","","信息化项目组","","信息化项目管理工作室","中","否","部门能力-业务流程-业务行为-应用系统映射","","PLM工作组;MES工作组;ERP·OA工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"22","1.12","总体系统架构设计","设计","10工作日","2026-10-01","2026-10-14","21","信息化项目组","信息化项目组","技术架构组","","信息化项目组","","信息化项目管理工作室","中","否","系统架构方案","","技术架构组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"24","1.14","总体蓝图评审通过","里程碑","0工作日","2026-10-22","2026-10-22","23","信息化项目组","信息化项目组","项目决策组","","信息化项目组","","项目决策组","高","是","总体蓝图评审意见","","项目决策组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"25","2.1.1","基础设施-方案评审材料准备","方案评审","8工作日","2026-07-01","2026-07-10","12","基础设施工作组","基础设施工作组","信息化项目管理工作室","基础设施供应商","基础设施工作组","基础设施供应商","信息化项目管理工作室","中","否","基础设施方案评审材料准备","重大评审尽量串行；供应商合同后2周进场准备","信息化项目管理工作室;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"32","2.1.8","基础设施-供应商正式进场","里程碑","0工作日","2026-09-30","2026-09-30","31","基础设施工作组","基础设施工作组","信息化项目管理工作室","基础设施供应商","基础设施工作组","基础设施供应商","信息化项目管理工作室","中","是","基础设施供应商正式进场","重大评审尽量串行；供应商合同后2周进场准备","信息化项目管理工作室;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"33","2.2.1","AI服务器/本地模型环境-方案评审材料准备","方案评审","8工作日","2026-07-15","2026-07-24","12","基础设施工作组","基础设施工作组","信息化项目管理工作室","AI服务器供应商","基础设施工作组","AI服务器供应商","信息化项目管理工作室","中","否","AI服务器/本地模型环境方案评审材料准备","重大评审尽量串行；供应商合同后2周进场准备","信息化项目管理工作室;AI服务器供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"40","2.2.8","AI服务器/本地模型环境-供应商正式进场","里程碑","0工作日","2026-10-14","2026-10-14","39","基础设施工作组","基础设施工作组","信息化项目管理工作室","AI服务器供应商","基础设施工作组","AI服务器供应商","信息化项目管理工作室","中","是","AI服务器/本地模型环境供应商正式进场","重大评审尽量串行；供应商合同后2周进场准备","信息化项目管理工作室;AI服务器供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"48","2.3.8","虚拟化/瘦终端平台-供应商正式进场","里程碑","0工作日","2026-10-14","2026-10-14","47","基础设施工作组","基础设施工作组","信息化项目管理工作室","基础设施供应商","基础设施工作组","基础设施供应商","信息化项目管理工作室","中","是","虚拟化/瘦终端平台供应商正式进场","重大评审尽量串行；供应商合同后2周进场准备","信息化项目管理工作室;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"49","2.4.1","PLM深化-方案评审材料准备","方案评审","8工作日","2026-08-17","2026-08-26","12","PLM工作组","PLM工作组","信息化项目管理工作室","PLM供应商","PLM工作组","PLM供应商","信息化项目管理工作室","高","否","PLM深化方案评审材料准备","重大评审尽量串行；供应商合同后2周进场准备","信息化项目管理工作室;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"52","2.4.4","PLM深化-招标/比选与答疑","招采","25工作日","2026-09-11","2026-10-15","51","PLM工作组","PLM工作组","信息化项目管理工作室","PLM供应商","PLM工作组","PLM供应商","信息化项目管理工作室","高","否","PLM深化招标/比选与答疑","重大评审尽量串行；供应商合同后2周进场准备","信息化项目管理工作室;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"56","2.4.8","PLM深化-供应商正式进场","里程碑","0工作日","2026-11-25","2026-11-25","55","PLM工作组","PLM工作组","信息化项目管理工作室","PLM供应商","PLM工作组","PLM供应商","信息化项目管理工作室","高","是","PLM深化供应商正式进场","重大评审尽量串行；供应商合同后2周进场准备","信息化项目管理工作室;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"57","2.5.1","MES/QMS-方案评审材料准备","方案评审","8工作日","2026-09-01","2026-09-10","12","MES工作组","MES工作组","信息化项目管理工作室","MES供应商;低代码平台供应商","MES工作组","MES供应商;低代码平台供应商","信息化项目管理工作室","高","否","MES/QMS方案评审材料准备","重大评审尽量串行；供应商合同后2周进场准备","信息化项目管理工作室;MES供应商;低代码平台供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"60","2.5.4","MES/QMS-招标/比选与答疑","招采","25工作日","2026-09-28","2026-10-30","59","MES工作组","MES工作组","信息化项目管理工作室","MES供应商;低代码平台供应商","MES工作组","MES供应商;低代码平台供应商","信息化项目管理工作室","高","否","MES/QMS招标/比选与答疑","重大评审尽量串行；供应商合同后2周进场准备","信息化项目管理工作室;MES供应商;低代码平台供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"63","2.5.7","MES/QMS-供应商进场准备","进场","10工作日","2026-11-26","2026-12-09","62","MES工作组","MES工作组","信息化项目管理工作室","MES供应商;低代码平台供应商","MES工作组","MES供应商;低代码平台供应商","信息化项目管理工作室","高","否","MES/QMS供应商进场准备","重大评审尽量串行；供应商合同后2周进场准备","信息化项目管理工作室;MES供应商;低代码平台供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"64","2.5.8","MES/QMS-供应商正式进场","里程碑","0工作日","2026-12-10","2026-12-10","63","MES工作组","MES工作组","信息化项目管理工作室","MES供应商;低代码平台供应商","MES工作组","MES供应商;低代码平台供应商","信息化项目管理工作室","高","是","MES/QMS供应商正式进场","重大评审尽量串行；供应商合同后2周进场准备","信息化项目管理工作室;MES供应商;低代码平台供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"65","2.6.1","设备数据采集硬件/网关-方案评审材料准备","方案评审","8工作日","2027-05-10","2027-05-19","12","MES工作组","MES工作组","信息化项目管理工作室","设备采集供应商","MES工作组","设备采集供应商","信息化项目管理工作室","中","否","设备数据采集硬件/网关方案评审材料准备","重大评审尽量串行；供应商合同后2周进场准备","信息化项目管理工作室;设备采集供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"72","2.6.8","设备数据采集硬件/网关-供应商正式进场","里程碑","0工作日","2027-08-18","2027-08-18","71","MES工作组","MES工作组","信息化项目管理工作室","设备采集供应商","MES工作组","设备采集供应商","信息化项目管理工作室","中","是","设备数据采集硬件/网关供应商正式进场","重大评审尽量串行；供应商合同后2周进场准备","信息化项目管理工作室;设备采集供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"74","3.1.2","组织/部门/岗位/人员标准-标准草案编制","设计","6工作日","2026-06-15","2026-06-22","73","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","组织人员标准","所有资源均按瓶颈处理，关键评审避免重叠","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"78","3.2.2","物料分类与物料编码标准-标准草案编制","设计","6工作日","2026-07-09","2026-07-16","77","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","高","否","物料分类、编码规则、属性模板","所有资源均按瓶颈处理，关键评审避免重叠","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"82","3.3.2","EBOM/PBOM/MBOM数据口径-标准草案编制","设计","6工作日","2026-08-04","2026-08-11","81","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","高","否","三类BOM口径说明","所有资源均按瓶颈处理，关键评审避免重叠","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"86","3.4.2","工艺资源标准-标准草案编制","设计","6工作日","2026-08-28","2026-09-04","85","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","设备、工装、工具、工位标准","所有资源均按瓶颈处理，关键评审避免重叠","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"94","3.6.2","库房/库位/批次/条码规则-标准草案编制","设计","6工作日","2026-10-19","2026-10-26","93","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","库房库位批次条码规则","所有资源均按瓶颈处理，关键评审避免重叠","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"98","3.7.2","主数据清洗去重补全-标准草案编制","设计","6工作日","2026-11-12","2026-11-19","97","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","数据清洗报告","所有资源均按瓶颈处理，关键评审避免重叠","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"102","3.8.2","数据质量问题清单建立-标准草案编制","设计","6工作日","2026-12-08","2026-12-15","101","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","数据质量问题清单","所有资源均按瓶颈处理，关键评审避免重叠","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"106","3.9.2","主数据标准V1.0发布培训-标准草案编制","设计","6工作日","2027-01-01","2027-01-08","105","MDM工作组","MDM工作组","数据质量工作组;各业务工作组","","MDM工作组","","各部门授权审核员;数据质量工作组","中","否","发布材料与培训记录","所有资源均按瓶颈处理，关键评审避免重叠","MDM工作组;数据质量工作组;各业务工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"109","3.10","数据标准V1.0发布","里程碑","0工作日","2027-01-20","2027-01-20","108","MDM工作组","MDM工作组","","","MDM工作组","","项目决策组","高","是","数据标准V1.0","","MDM工作组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"119","4.10","核心台账模块开发","开发","12工作日","2026-09-18","2026-10-05","118","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","主数据台账","当前核心开发资源为1人，按高风险控制；10月底上线节点不变","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"120","4.11","审批流模块开发","开发","10工作日","2026-10-06","2026-10-19","119","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","审批流","当前核心开发资源为1人，按高风险控制；10月底上线节点不变","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"122","4.13","数据分发接口开发","开发","10工作日","2026-10-30","2026-11-12","121","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","分发接口","当前核心开发资源为1人，按高风险控制；10月底上线节点不变","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"123","4.14","质量校验模块开发","开发","10工作日","2026-11-13","2026-11-26","122","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","质量校验","当前核心开发资源为1人，按高风险控制；10月底上线节点不变","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"124","4.15","数据质量看板开发","开发","8工作日","2026-11-27","2026-12-08","123","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","质量看板","当前核心开发资源为1人，按高风险控制；10月底上线节点不变","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"125","4.16","数据纠正通知机制开发","开发","6工作日","2026-12-09","2026-12-16","124","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","纠正通知","当前核心开发资源为1人，按高风险控制；10月底上线节点不变","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"127","4.18","单元测试与缺陷修复","测试","8工作日","2026-12-23","2027-01-01","126","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","测试记录","当前核心开发资源为1人，按高风险控制；10月底上线节点不变","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"128","4.19","集成测试","测试","8工作日","2027-01-04","2027-01-13","127","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","信息化项目管理工作室;数据质量工作组","高","否","集成测试报告","当前核心开发资源为1人，按高风险控制；10月底上线节点不变","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"131","4.22","MDM平台一期上线","里程碑","0工作日","2027-01-26","2027-01-26","130","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","项目决策组","高","是","上线确认单","当前核心开发资源为1人，按高风险控制；10月底上线节点不变","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"133","4.24","MDM一期验收","里程碑","0工作日","2027-02-01","2027-02-01","132","MDM工作组","MDM工作组","技术架构组;AI辅助编程环境","MDM自研团队","MDM工作组","自研","项目决策组","高","是","MDM一期验收报告","当前核心开发资源为1人，按高风险控制；10月底上线节点不变","MDM工作组;技术架构组;AI辅助编程环境","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"137","5.1.4","服务器与虚拟化平台-高可用测试","测试","7工作日","2026-09-09","2026-09-17","136","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","服务器与虚拟化平台高可用测试","基础设施应早于MES测试环境搭建","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"154","5.5.1","AI服务器与本地模型-硬件到货验收","验收","3工作日","2026-09-15","2026-09-17","12","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商;AI服务器供应商","基础设施工作组","基础设施供应商;AI服务器供应商","网络工程副主任;技术架构副主任","高","否","AI服务器与本地模型硬件到货验收","基础设施应早于MES测试环境搭建","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"157","5.5.4","AI服务器与本地模型-知识库原型","设计","7工作日","2026-10-08","2026-10-16","156","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商;AI服务器供应商","基础设施工作组","基础设施供应商;AI服务器供应商","网络工程副主任;技术架构副主任","高","否","AI服务器与本地模型知识库原型","基础设施应早于MES测试环境搭建","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"158","5.5.5","AI服务器与本地模型-MDM辅助开发试点","测试","7工作日","2026-10-19","2026-10-27","157","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商;AI服务器供应商","基础设施工作组","基础设施供应商;AI服务器供应商","网络工程副主任;技术架构副主任","高","否","AI服务器与本地模型MDM辅助开发试点","基础设施应早于MES测试环境搭建","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"159","5.5.6","AI服务器与本地模型-试点效果报告","测试","3工作日","2026-10-28","2026-10-30","158","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商;AI服务器供应商","基础设施工作组","基础设施供应商;AI服务器供应商","网络工程副主任;技术架构副主任","高","否","AI服务器与本地模型试点效果报告","基础设施应早于MES测试环境搭建","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"161","5.6.2","虚拟桌面/瘦终端平台-镜像模板","设计","7工作日","2026-10-21","2026-10-29","160","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","虚拟桌面/瘦终端平台镜像模板","基础设施应早于MES测试环境搭建","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"167","5.7.3","运维监控与日志审计-日志审计联调","设计","7工作日","2026-11-20","2026-11-30","166","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","运维监控与日志审计日志审计联调","基础设施应早于MES测试环境搭建","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"168","5.7.4","运维监控与日志审计-告警演练","测试","7工作日","2026-12-01","2026-12-09","167","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","网络工程副主任;技术架构副主任","中","否","运维监控与日志审计告警演练","基础设施应早于MES测试环境搭建","网络工程组;技术架构组;基础设施供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"170","5.8","基础设施生产环境就绪","里程碑","0工作日","2027-01-20","2027-01-20","138,143,148,153,159,164,169","基础设施工作组","基础设施工作组","网络工程组;技术架构组","基础设施供应商","基础设施工作组","基础设施供应商","项目决策组","高","是","生产环境就绪确认单","","网络工程组;技术架构组","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"174","6.4","EBOM到MBOM转换规则草案","设计","10工作日","2026-09-08","2026-09-21","173","PLM工作组","PLM工作组","工程技术部","","PLM工作组","","PLM工作组组长;信息化项目管理工作室","高","否","转换规则草案","供应商未定前只做内部调研和方案","PLM工作组;工程技术部","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"179","6.9","供应商复核与深化蓝图","设计","10工作日","2026-12-01","2026-12-14","178","PLM工作组","PLM工作组","","PLM供应商","PLM工作组","PLM供应商","PLM工作组组长","高","否","PLM深化蓝图","最好全有，以实际开发和集成进度为准","PLM工作组;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"182","6.12","EBOM规范化配置/开发","开发","12工作日","2027-01-12","2027-01-27","181","PLM工作组","PLM工作组","","PLM供应商","PLM工作组","PLM供应商","PLM工作组组长","高","否","模块配置","最好全有，以实际开发和集成进度为准","PLM工作组;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"183","6.13","工艺结构化配置/开发","开发","15工作日","2027-01-28","2027-02-17","182","PLM工作组","PLM工作组","","PLM供应商","PLM工作组","PLM供应商","PLM工作组组长","高","否","模块配置","最好全有，以实际开发和集成进度为准","PLM工作组;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"184","6.14","ECN/ECO流程配置/开发","开发","12工作日","2027-02-18","2027-03-05","183","PLM工作组","PLM工作组","","PLM供应商","PLM工作组","PLM供应商","PLM工作组组长","高","否","流程配置","最好全有，以实际开发和集成进度为准","PLM工作组;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"185","6.15","PLM-MDM接口开发联调","开发/联调","10工作日","2027-03-08","2027-03-19","184","PLM工作组","PLM工作组","","PLM供应商","PLM工作组","PLM供应商","PLM工作组组长","高","否","接口联调记录","最好全有，以实际开发和集成进度为准","PLM工作组;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"186","6.16","PLM-MES接口开发联调","开发/联调","10工作日","2027-03-22","2027-04-02","185","PLM工作组","PLM工作组","","PLM供应商","PLM工作组","PLM供应商","PLM工作组组长","高","否","接口联调记录","最好全有，以实际开发和集成进度为准","PLM工作组;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"187","6.17","PLM系统测试","测试","10工作日","2027-04-05","2027-04-16","186","PLM工作组","PLM工作组","","PLM供应商","PLM工作组","PLM供应商","PLM工作组组长","高","否","测试报告","最好全有，以实际开发和集成进度为准","PLM工作组;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
"190","6.20","PLM基础深化验收","里程碑","0工作日","2027-05-01","2027-05-01","189","PLM工作组","PLM工作组","","PLM供应商","PLM工作组","PLM供应商","工程技术部;项目决策组","高","是","PLM验收报告","最好全有，以实际开发和集成进度为准","PLM工作组;PLM供应商","资源名称仅保留主责资源；协作资源、供应商资源建议映射到文本字段，不导入Resource Names",""
