ID,WBS,任务名称,任务类型,工期,开始时间,完成时间,前置任务,资源名称,责任部门,供应商,审核人/审批组,风险等级,里程碑,交付物,备注,所属视图分类,阶段门编号,是否关键路径控制,版本控制对象,变更等级,联调启动条件,是否H5重点展示,阶段门名称,放行/阻断规则,合同/付款控制口径,H5诊断规则,执行说明
15,1.3.5,总体蓝图评审通过,里程碑,0工作日,2026-10-22,2026-10-22,14,信息化项目组,信息化项目组,,项目决策组,高,是,总体蓝图评审意见,,Gate,G0,是,,,,是,,,,,
16,2,招采合同与供应商管理,摘要,,2026-06-19,2028-01-31,,信息化项目组,信息化项目组,,,中,否,,供应商未定项目采用保守招采周期；合同后设置2周进场准备,,,,,,,,,,,,
17,2.1,核心系统招采关键路径,摘要,,2026-06-19,2027-01-22,,信息化项目组,信息化项目组,,信息化项目管理工作室,高,否,核心招采路径,核心系统招采需满足WBS9联调准备条件。,Core_Procurement,,是,,,,是,,,,,
18,2.1.1,核心系统采购包初始边界冻结（不触发招标发布）,里程碑,0工作日,2026-06-19,2026-06-19,,信息化项目组,信息化项目组,,项目决策组,高,是,核心采购包初始边界确认单,冻结PLM、MES/低代码平台、ERP扩容、OA、基础设施等核心采购包边界。；仅冻结采购包范围和责任边界，不作为招标/比选文件正式发布条件。,Core_Procurement,G0,是,,,,是,,正式发布招标/比选文件必须等待对应系统详细需求包或需求冻结完成。,,,采购包可先做范围划分、预算测算和市场摸底，禁止据此直接发布招标文件。
19,2.1.2,PLM供应商合同签订与进场完成,里程碑,0工作日,2027-01-18,2027-01-18,69,PLM工作组,PLM工作组,PLM供应商,项目决策组,高,是,PLM合同、进场确认,核心招采关键路径。,Core_Procurement,G2,是,,,,是,,,,,
20,2.1.3,MES/低代码平台供应商合同签订与进场完成,里程碑,0工作日,2027-01-15,2027-01-15,78,MES工作组,MES工作组,MES供应商/低代码平台供应商,项目决策组,高,是,MES/低代码平台合同、进场确认,核心招采关键路径。,Core_Procurement,G2,是,,,,是,,,,,
21,2.1.4,ERP扩容订单/合同确认完成,里程碑,0工作日,2026-10-26,2026-10-26,84,ERP·OA工作组,ERP·OA工作组,用友U8,项目决策组,高,是,ERP扩容订单/合同,ERP为现有服务器扩容，不是新建ERP系统采购。,Core_Procurement,G2,是,,,,是,,,,,
22,2.1.5,OA供应商合同签订与进场完成,里程碑,0工作日,2026-12-07,2026-12-07,96,ERP·OA工作组,ERP·OA工作组,OA供应商,项目决策组,高,是,OA合同、进场确认,OA采购作为独立采购包，不能被ERP/OA实施补强替代。,Core_Procurement,G2,是,,,,是,,,,,
23,2.1.6,核心系统供应商联合启动会,启动,3工作日,2027-01-19,2027-01-21,"19,20,21,22",信息化项目组,信息化项目组,,信息化项目管理工作室,高,否,联合启动会纪要,核心供应商共同确认接口、数据、环境、联调边界。,Core_Procurement,G2,是,,,,是,,,,,
24,2.1.7,核心招采满足WBS9联调准备条件,里程碑,0工作日,2027-01-22,2027-01-22,23,信息化项目组,信息化项目组,,项目决策组,高,是,核心招采联调准备确认单,WBS9不得依赖WBS2一级摘要，必须依赖本节点。,Core_Procurement,G2,是,,,招采,是,,,,,
25,2.2,基础设施与运行环境招采关键路径,摘要,,2026-07-01,2027-01-20,,基础设施工作组,基础设施工作组,,信息化项目管理工作室,高,否,基础设施与运行环境招采路径,承接机房动力、虚拟化、存储备份、AI GPU、Oracle HA等基础环境类采购和验收。,Core_Procurement,G1,是,,,,是,,,,,
26,2.3,外围应用与后续采购事项,摘要,,2027-05-03,2027-08-18,,信息化项目组,信息化项目组,,信息化项目管理工作室,中,否,外围后续采购事项路径,不作为WBS9联调启动前置。,Contract_Control,,,,,,是,,,,,
27,2.3.1,驾驶舱深化类采购准备,招采,10工作日,2027-05-03,2027-05-14,,信息化项目组,信息化项目组,,信息化项目管理工作室,中,否,驾驶舱深化采购准备材料,外围招采不阻塞WBS9联调启动。,Contract_Control,,,,,,是,,,,,
28,2.3.2,AI应用深化类采购准备,招采,10工作日,2027-05-17,2027-05-28,27,信息化项目组,信息化项目组,,信息化项目管理工作室,中,否,AI应用深化采购准备材料,外围招采不阻塞WBS9联调启动。,Contract_Control,,,,,,是,,,,,
29,2.3.3,后续优化与扩展类采购,招采,10工作日,2027-06-01,2027-06-30,28,信息化项目组,信息化项目组,,信息化项目管理工作室,中,否,后续优化扩展采购材料,外围招采不阻塞WBS9联调启动。,Contract_Control,,,,,,是,,,,,
30,2.3.4,外围招采合同审批与进场,合同/进场,10工作日,2027-07-01,2027-07-30,29,信息化项目组,信息化项目组,,信息化项目管理工作室,中,否,外围招采合同与进场确认,外围招采不阻塞WBS9联调启动。,Contract_Control,,,,,,是,,,,,
31,2.3.5,外围后续采购事项完成,里程碑,0工作日,2027-08-18,2027-08-18,30,信息化项目组,信息化项目组,,信息化项目管理工作室,中,是,外围后续采购事项完成确认单,外围招采不阻塞WBS9联调启动。,Contract_Control,,是,,,,是,,不通过不得进入对应供应商进场、上线、验收或总体验收下一阶段。,,,
32,2.4,招采收口与合同履约管理,摘要,,2027-08-01,2028-01-31,,信息化项目组,信息化项目组,,信息化项目管理工作室,中,否,招采合同履约台账,用于合同技术附件、付款节点、临时放行与履约风险归档。,Contract_Control,,,,,,是,,,,,
33,2.5,基础设施,摘要,,2026-07-01,2027-01-06,,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,,否,,自动生成父级摘要，用于修复 WBS 树结构,,,,,,,,,,,,
34,2.5.1,基础设施-方案评审材料准备,方案评审,8工作日,2026-07-01,2026-07-10,,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,中,否,基础设施方案评审材料准备,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,,,,,,
35,2.5.2,基础设施-技术方案与预算评审,评审,3工作日,2026-07-13,2026-07-15,34,基础设施工作组,基础设施工作组,基础设施供应商,项目决策组,中,否,基础设施技术方案与预算评审,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,,,,,,
36,2.5.3,机房动力环境改造方案评审与采购草案准备（不发布）,招采,22工作日,2026-07-16,2026-08-14,35,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室;项目决策组,高,否,机房动力环境改造方案、采购草案,包含UPS扩容、PDU、机柜承重及散热改造；必须支撑GPU服务器到货前施工准备。；本节点仅允许形成草案、预算测算和内部评审材料，不允许对外发布招标/比选文件。,Contract_Control,,,,,,是,,未完成对应系统详细需求包或需求冻结前，不得发布招标/比选文件。,,,基础设施工作组负责机房动力环境技术方案和现场条件确认；信息化项目管理工作室负责采购节奏、材料齐套和决策组上会协调。
37,2.5.4,基础设施-招标/比选文件草案编制（不发布）,招采,8工作日,2026-07-16,2026-07-27,35,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,中,否,基础设施招标/比选文件草案,重大评审尽量串行；供应商合同后2周进场准备；本节点仅允许形成草案、预算测算和内部评审材料，不允许对外发布招标/比选文件。,Contract_Control,,,,,,,,未完成对应系统详细需求包或需求冻结前，不得发布招标/比选文件。,,,采购准备与正式发布拆分管理，本节点不触发供应商正式投标/比选。
38,2.5.5,基础设施-招标/比选文件正式发布与答疑,招采,18工作日,2026-11-03,2026-11-26,"37,259,279,308",基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,中,否,基础设施招标/比选文件正式发布与答疑,重大评审尽量串行；供应商合同后2周进场准备；本节点为正式对外发布节点，必须完成对应系统详细需求包或需求冻结后才能启动。,Contract_Control,,,,,,,,对应系统详细需求包/需求冻结未完成则阻断发布、答疑、评标和商务谈判。,,,正式发布招标/比选文件、组织答疑和后续评标均以需求冻结为前置。
39,2.5.6,基础设施-评标/选型与商务谈判,招采,10工作日,2026-11-27,2026-12-10,38,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,中,否,基础设施评标/选型与商务谈判,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,,,,,,
40,2.5.7,基础设施-合同审批与签订,合同,8工作日,2026-12-11,2026-12-22,39,基础设施工作组,基础设施工作组,基础设施供应商,项目决策组,中,否,基础设施合同审批与签订,重大评审尽量串行；供应商合同后2周进场准备,Contract_Control,,,,,,,,,,,
41,2.5.8,基础设施-供应商进场准备,进场,10工作日,2026-12-23,2027-01-05,40,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,中,否,基础设施供应商进场准备,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,,,,,,
42,2.5.9,基础设施-供应商正式进场,里程碑,0工作日,2027-01-06,2027-01-06,41,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,中,是,基础设施供应商正式进场,重大评审尽量串行；供应商合同后2周进场准备,Gate,,是,,,,是,,不通过不得进入对应供应商进场、上线、验收或总体验收下一阶段。,,,
43,2.6,AI服务器/本地模型环境,摘要,,2026-07-15,2027-01-06,,基础设施工作组,基础设施工作组,AI服务器供应商,信息化项目管理工作室,,否,,自动生成父级摘要，用于修复 WBS 树结构,,,,,,,,,,,,
44,2.6.1,AI服务器/本地模型环境-方案评审材料准备,方案评审,8工作日,2026-07-15,2026-07-24,,基础设施工作组,基础设施工作组,AI服务器供应商,信息化项目管理工作室,中,否,AI服务器/本地模型环境方案评审材料准备,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,,,,,,
45,2.6.2,AI服务器/本地模型环境-技术方案与预算评审,评审,3工作日,2026-07-27,2026-07-29,44,基础设施工作组,基础设施工作组,AI服务器供应商,项目决策组,中,否,AI服务器/本地模型环境技术方案与预算评审,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,,,,,,
46,2.6.3,AI服务器/本地模型环境-招标/比选文件草案编制（不发布）,招采,8工作日,2026-07-30,2026-08-10,45,基础设施工作组,基础设施工作组,AI服务器供应商,信息化项目管理工作室,中,否,AI服务器/本地模型环境招标/比选文件草案,重大评审尽量串行；供应商合同后2周进场准备；本节点仅允许形成草案、预算测算和内部评审材料，不允许对外发布招标/比选文件。,Contract_Control,,,,,,,,未完成对应系统详细需求包或需求冻结前，不得发布招标/比选文件。,,,采购准备与正式发布拆分管理，本节点不触发供应商正式投标/比选。
47,2.6.4,AI服务器/本地模型环境-招标/比选文件正式发布与答疑,招采,18工作日,2026-11-03,2026-11-26,"46,259,279,308",基础设施工作组,基础设施工作组,AI服务器供应商,信息化项目管理工作室,中,否,AI服务器/本地模型环境招标/比选文件正式发布与答疑,重大评审尽量串行；供应商合同后2周进场准备；本节点为正式对外发布节点，必须完成对应系统详细需求包或需求冻结后才能启动。,Contract_Control,,,,,,,,对应系统详细需求包/需求冻结未完成则阻断发布、答疑、评标和商务谈判。,,,正式发布招标/比选文件、组织答疑和后续评标均以需求冻结为前置。
48,2.6.5,AI服务器/本地模型环境-评标/选型与商务谈判,招采,10工作日,2026-11-27,2026-12-10,47,基础设施工作组,基础设施工作组,AI服务器供应商,信息化项目管理工作室,中,否,AI服务器/本地模型环境评标/选型与商务谈判,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,,,,,,
49,2.6.6,AI服务器/本地模型环境-合同审批与签订,合同,8工作日,2026-12-11,2026-12-22,48,基础设施工作组,基础设施工作组,AI服务器供应商,项目决策组,中,否,AI服务器/本地模型环境合同审批与签订,重大评审尽量串行；供应商合同后2周进场准备,Contract_Control,,,,,,,,,,,
50,2.6.7,AI服务器/本地模型环境-供应商进场准备,进场,10工作日,2026-12-23,2027-01-05,49,基础设施工作组,基础设施工作组,AI服务器供应商,信息化项目管理工作室,中,否,AI服务器/本地模型环境供应商进场准备,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,,,,,,
51,2.6.8,AI服务器/本地模型环境-供应商正式进场,里程碑,0工作日,2027-01-06,2027-01-06,50,基础设施工作组,基础设施工作组,AI服务器供应商,信息化项目管理工作室,中,是,AI服务器/本地模型环境供应商正式进场,重大评审尽量串行；供应商合同后2周进场准备,Gate,,是,,,,是,,不通过不得进入对应供应商进场、上线、验收或总体验收下一阶段。,,,
52,2.7,虚拟化/瘦终端平台,摘要,,2026-07-15,2027-01-06,,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,,否,,自动生成父级摘要，用于修复 WBS 树结构,,,,,,,,,,,,
53,2.7.1,虚拟化/瘦终端平台-方案评审材料准备,方案评审,8工作日,2026-07-15,2026-07-24,,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,中,否,虚拟化/瘦终端平台方案评审材料准备,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,,,,,,
54,2.7.2,虚拟化/瘦终端平台-技术方案与预算评审,评审,3工作日,2026-07-27,2026-07-29,53,基础设施工作组,基础设施工作组,基础设施供应商,项目决策组,中,否,虚拟化/瘦终端平台技术方案与预算评审,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,,,,,,
55,2.7.3,虚拟化/瘦终端平台-招标/比选文件草案编制（不发布）,招采,8工作日,2026-07-30,2026-08-10,54,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,中,否,虚拟化/瘦终端平台招标/比选文件草案,重大评审尽量串行；供应商合同后2周进场准备；本节点仅允许形成草案、预算测算和内部评审材料，不允许对外发布招标/比选文件。,Contract_Control,,,,,,,,未完成对应系统详细需求包或需求冻结前，不得发布招标/比选文件。,,,采购准备与正式发布拆分管理，本节点不触发供应商正式投标/比选。
56,2.7.4,虚拟化/瘦终端平台-招标/比选文件正式发布与答疑,招采,18工作日,2026-11-03,2026-11-26,"55,259,279,308",基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,中,否,虚拟化/瘦终端平台招标/比选文件正式发布与答疑,重大评审尽量串行；供应商合同后2周进场准备；本节点为正式对外发布节点，必须完成对应系统详细需求包或需求冻结后才能启动。,Contract_Control,,,,,,,,对应系统详细需求包/需求冻结未完成则阻断发布、答疑、评标和商务谈判。,,,正式发布招标/比选文件、组织答疑和后续评标均以需求冻结为前置。
57,2.7.5,虚拟化/瘦终端平台-评标/选型与商务谈判,招采,10工作日,2026-11-27,2026-12-10,56,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,中,否,虚拟化/瘦终端平台评标/选型与商务谈判,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,,,,,,
58,2.7.6,虚拟化/瘦终端平台-合同审批与签订,合同,8工作日,2026-12-11,2026-12-22,57,基础设施工作组,基础设施工作组,基础设施供应商,项目决策组,中,否,虚拟化/瘦终端平台合同审批与签订,重大评审尽量串行；供应商合同后2周进场准备,Contract_Control,,,,,,,,,,,
59,2.7.7,虚拟化/瘦终端平台-供应商进场准备,进场,10工作日,2026-12-23,2027-01-05,58,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,中,否,虚拟化/瘦终端平台供应商进场准备,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,,,,,,
60,2.7.8,虚拟化/瘦终端平台-供应商正式进场,里程碑,0工作日,2027-01-06,2027-01-06,59,基础设施工作组,基础设施工作组,基础设施供应商,信息化项目管理工作室,中,是,虚拟化/瘦终端平台供应商正式进场,重大评审尽量串行；供应商合同后2周进场准备,Gate,,是,,,,是,,不通过不得进入对应供应商进场、上线、验收或总体验收下一阶段。,,,
61,2.8,PLM深化,摘要,,2026-08-17,2027-01-15,,PLM工作组,PLM工作组,PLM供应商,信息化项目管理工作室,,否,,自动生成父级摘要，用于修复 WBS 树结构,,,,,,,,,,,,
62,2.8.1,PLM深化-方案评审材料准备,方案评审,8工作日,2026-08-17,2026-08-26,,PLM工作组,PLM工作组,PLM供应商,信息化项目管理工作室,高,否,PLM深化方案评审材料准备,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,是,,,,,
63,2.8.2,PLM深化-技术方案与预算评审,评审,3工作日,2026-08-27,2026-08-31,62,PLM工作组,PLM工作组,PLM供应商,项目决策组,高,否,PLM深化技术方案与预算评审,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,是,,,,,
64,2.8.3,PLM深化-招标/比选文件草案编制（不发布）,招采,8工作日,2026-09-01,2026-09-10,63,PLM工作组,PLM工作组,PLM供应商,信息化项目管理工作室,高,否,PLM深化招标/比选文件草案,重大评审尽量串行；供应商合同后2周进场准备；本节点仅允许形成草案、预算测算和内部评审材料，不允许对外发布招标/比选文件。,Contract_Control,,,,,,是,,未完成对应系统详细需求包或需求冻结前，不得发布招标/比选文件。,,,采购准备与正式发布拆分管理，本节点不触发供应商正式投标/比选。
65,2.8.4,PLM深化-招标/比选文件正式发布与答疑,招采,25工作日,2026-11-03,2026-12-07,"64,259",PLM工作组,PLM工作组,PLM供应商,信息化项目管理工作室,高,否,PLM深化招标/比选文件正式发布与答疑,重大评审尽量串行；供应商合同后2周进场准备；本节点为正式对外发布节点，必须完成对应系统详细需求包或需求冻结后才能启动。,Contract_Control,,,,,,是,,对应系统详细需求包/需求冻结未完成则阻断发布、答疑、评标和商务谈判。,,,正式发布招标/比选文件、组织答疑和后续评标均以需求冻结为前置。
66,2.8.5,PLM深化-评标/选型与商务谈判,招采,10工作日,2026-12-08,2026-12-21,65,PLM工作组,PLM工作组,PLM供应商,信息化项目管理工作室,高,否,PLM深化评标/选型与商务谈判,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,是,,,,,
67,2.8.6,PLM深化-合同审批与签订,合同,8工作日,2026-12-22,2026-12-31,66,PLM工作组,PLM工作组,PLM供应商,项目决策组,高,否,PLM深化合同审批与签订,重大评审尽量串行；供应商合同后2周进场准备,Contract_Control,,,,,,是,,,,,
68,2.8.7,PLM深化-供应商进场准备,进场,10工作日,2027-01-01,2027-01-14,67,PLM工作组,PLM工作组,PLM供应商,信息化项目管理工作室,高,否,PLM深化供应商进场准备,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,是,,,,,
69,2.8.8,PLM深化-供应商正式进场,里程碑,0工作日,2027-01-15,2027-01-15,68,PLM工作组,PLM工作组,PLM供应商,信息化项目管理工作室,高,是,PLM深化供应商正式进场,重大评审尽量串行；供应商合同后2周进场准备,Gate,,是,,,,是,,不通过不得进入对应供应商进场、上线、验收或总体验收下一阶段。,,,
70,2.9,MES/低代码平台,摘要,,2026-09-01,2027-01-14,,MES工作组,MES工作组,MES供应商;低代码平台供应商,信息化项目管理工作室,,否,,自动生成父级摘要，用于修复 WBS 树结构,,,,,,,,,,,,
71,2.9.1,MES/低代码平台-方案评审材料准备,方案评审,8工作日,2026-09-01,2026-09-10,,MES工作组,MES工作组,MES供应商;低代码平台供应商,信息化项目管理工作室,高,否,MES/低代码平台方案评审材料准备,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,是,,,,,
72,2.9.2,MES/低代码平台-技术方案与预算评审,评审,3工作日,2026-09-11,2026-09-15,71,MES工作组,MES工作组,MES供应商;低代码平台供应商,项目决策组,高,否,MES/低代码平台技术方案与预算评审,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,是,,,,,
73,2.9.3,MES/低代码平台-招标/比选文件草案编制（不发布）,招采,8工作日,2026-09-16,2026-09-25,72,MES工作组,MES工作组,MES供应商;低代码平台供应商,信息化项目管理工作室,高,否,MES/低代码平台招标/比选文件草案,重大评审尽量串行；供应商合同后2周进场准备；本节点仅允许形成草案、预算测算和内部评审材料，不允许对外发布招标/比选文件。,Contract_Control,,,,,,是,,未完成对应系统详细需求包或需求冻结前，不得发布招标/比选文件。,,,采购准备与正式发布拆分管理，本节点不触发供应商正式投标/比选。
74,2.9.4,MES/低代码平台-招标/比选文件正式发布与答疑,招采,25工作日,2026-11-02,2026-12-04,"73,308",MES工作组,MES工作组,MES供应商;低代码平台供应商,信息化项目管理工作室,高,否,MES/低代码平台招标/比选文件正式发布与答疑,重大评审尽量串行；供应商合同后2周进场准备；本节点为正式对外发布节点，必须完成对应系统详细需求包或需求冻结后才能启动。,Contract_Control,,,,,,是,,对应系统详细需求包/需求冻结未完成则阻断发布、答疑、评标和商务谈判。,,,正式发布招标/比选文件、组织答疑和后续评标均以需求冻结为前置。
75,2.9.5,MES/低代码平台-评标/选型与商务谈判,招采,10工作日,2026-12-07,2026-12-18,74,MES工作组,MES工作组,MES供应商;低代码平台供应商,信息化项目管理工作室,高,否,MES/低代码平台评标/选型与商务谈判,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,是,,,,,
76,2.9.6,MES/低代码平台-合同审批与签订,合同,8工作日,2026-12-21,2026-12-30,75,MES工作组,MES工作组,MES供应商;低代码平台供应商,项目决策组,高,否,MES/低代码平台合同审批与签订,重大评审尽量串行；供应商合同后2周进场准备,Contract_Control,,,,,,是,,,,,
77,2.9.7,MES/低代码平台-供应商进场准备,进场,10工作日,2026-12-31,2027-01-13,76,MES工作组,MES工作组,MES供应商;低代码平台供应商,信息化项目管理工作室,高,否,MES/低代码平台供应商进场准备,重大评审尽量串行；供应商合同后2周进场准备,,,,,,,是,,,,,
78,2.9.8,MES/低代码平台-供应商正式进场,里程碑,0工作日,2027-01-14,2027-01-14,77,MES工作组,MES工作组,MES供应商;低代码平台供应商,信息化项目管理工作室,高,是,MES/低代码平台供应商正式进场,重大评审尽量串行；供应商合同后2周进场准备,Gate,,是,,,,是,,不通过不得进入对应供应商进场、上线、验收或总体验收下一阶段。,,,
79,2.10,ERP服务器扩容,摘要,,2026-08-10,2026-11-17,,ERP·OA工作组,ERP·OA工作组,基础设施供应商;用友U8,信息化项目管理工作室,高,否,,当前已有ERP服务器，本阶段仅体现扩容需求、采购/订单、到货验收、U8环境部署与性能验证，不作为新建ERP服务器采购。,,,,,,,是,,,,,
80,2.10.1,ERP服务器现状资源评估与扩容需求确认,需求,5工作日,2026-08-10,2026-08-14,9,ERP·OA工作组,ERP·OA工作组,基础设施供应商;用友U8,信息化项目管理工作室,中,否,ERP扩容需求确认单,ERP已有服务器，本任务体现扩容与环境验证，不重复定义新ERP服务器采购。,,,,,,,,,,,,
81,2.10.2,ERP服务器扩容方案与预算评审,评审,5工作日,2026-08-17,2026-08-21,80,ERP·OA工作组,ERP·OA工作组,基础设施供应商;用友U8,信息化项目管理工作室,高,否,ERP扩容方案与预算评审意见,ERP已有服务器，本任务体现扩容与环境验证，不重复定义新ERP服务器采购。,,,,,,,是,,,,,
82,2.10.3,ERP服务器扩容采购/订单文件草案编制（不下单）,招采,8工作日,2026-08-24,2026-09-02,81,ERP·OA工作组,ERP·OA工作组,基础设施供应商;用友U8,信息化项目管理工作室,中,否,ERP扩容采购/订单文件草案,ERP已有服务器，本任务体现扩容与环境验证，不重复定义新ERP服务器采购。；本节点仅允许形成草案、预算测算和内部评审材料，不允许对外发布招标/比选文件。,Contract_Control,,,,,,,,未完成对应系统详细需求包或需求冻结前，不得发布招标/比选文件。,,,采购准备与正式发布拆分管理，本节点不触发供应商正式投标/比选。
83,2.10.4,ERP服务器扩容正式采购/比选与商务确认,招采,12工作日,2026-10-01,2026-10-16,"82,279",ERP·OA工作组,ERP·OA工作组,基础设施供应商;用友U8,信息化项目管理工作室,中,否,ERP扩容正式采购/比选与商务确认记录,ERP已有服务器，本任务体现扩容与环境验证，不重复定义新ERP服务器采购。；本节点为正式对外发布节点，必须完成对应系统详细需求包或需求冻结后才能启动。,Contract_Control,,,,,,,,对应系统详细需求包/需求冻结未完成则阻断发布、答疑、评标和商务谈判。,,,正式发布招标/比选文件、组织答疑和后续评标均以需求冻结为前置。
84,2.10.5,ERP服务器扩容合同/订单审批,合同,5工作日,2026-10-19,2026-10-23,83,ERP·OA工作组,ERP·OA工作组,基础设施供应商;用友U8,信息化项目管理工作室,中,否,合同/订单审批记录,ERP已有服务器，本任务体现扩容与环境验证，不重复定义新ERP服务器采购。,Contract_Control,,,,,,,,,,,
85,2.10.6,ERP服务器扩容到货验收与资源上架,验收,8工作日,2026-10-26,2026-11-04,84,ERP·OA工作组,ERP·OA工作组,基础设施供应商;用友U8,信息化项目管理工作室,中,否,到货验收单、资源上架记录,ERP已有服务器，本任务体现扩容与环境验证，不重复定义新ERP服务器采购。,,,,,,,是,,,,,
86,2.10.7,ERP U8扩容环境部署与性能验证,部署/验证,8工作日,2026-11-05,2026-11-16,85,ERP·OA工作组,ERP·OA工作组,基础设施供应商;用友U8,信息化项目管理工作室,高,否,U8扩容环境验证报告,ERP已有服务器，本任务体现扩容与环境验证，不重复定义新ERP服务器采购。,,,,,,,是,,,,,
